No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Forward P/E,PEG,P/S,P/B,P/Cash,P/Free Cash Flow,Dividend Yield,Payout Ratio,EPS (ttm),EPS growth this year,EPS growth next year,EPS growth past 5 years,EPS growth next 5 years,Sales growth past 5 years,EPS growth quarter over quarter,Sales growth quarter over quarter,Shares Outstanding,Shares Float,Insider Ownership,Insider Transactions,Institutional Ownership,Institutional Transactions,Float Short,Short Ratio,Return on Assets,Return on Equity,Return on Investment,Current Ratio,Quick Ratio,LT Debt/Equity,Total Debt/Equity,Gross Margin,Operating Margin,Profit Margin,Performance (Week),Performance (Month),Performance (Quarter),Performance (Half Year),Performance (Year),Performance (YTD),Beta,Average True Range,Volatility (Week),Volatility (Month),20-Day Simple Moving Average,50-Day Simple Moving Average,200-Day Simple Moving Average,50-Day High,50-Day Low,52-Week High,52-Week Low,Relative Strength Index (14),Change from Open,Gap,Analyst Recom,Average Volume,Relative Volume,Price,Change,Volume,Earnings Date,Target Price,IPO Date,After-Hours Close,After-Hours Change
226,AGZD,WisdomTree Interest Rate Hedged U.S. Aggregate Bond Fund,Financial,Exchange Traded Fund,USA,,,,,,,,,1.83%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,-0.47%,-0.82%,-0.88%,-1.65%,-0.36%,,0.15,0.34%,0.30%,-0.28%,-0.38%,-0.79%,-1.04%,0.28%,-6.36%,0.28%,41.24,-0.32%,0.30%,,56.93,0.51,46.51,-0.02%,29128,,,12/18/2013,46.47,-0.09%
227,AHCO,AdaptHealth Corp.,Healthcare,Medical Devices,USA,2491.08,,12.92,,1.18,1.18,7.4,139.95,,0.00%,-1.6,-225.50%,23.15%,,46.50%,,142.50%,129.70%,131.68,82.14,1.20%,0.05%,61.30%,1.11%,8.76%,7.78,2.90%,7.70%,6.70%,1.6,1.4,1.1,1.12,21.00%,7.00%,5.50%,-2.88%,-22.71%,-33.47%,-20.19%,-53.31%,-26.94%,0.25,1.11,5.34%,5.59%,-15.51%,-17.18%,-27.05%,-30.30%,1.77%,-57.02%,1.77%,30.85,1.07%,-1.06%,1.4,924.07,2.82,17.87,0.00%,2604121,11/04/2021 8:30,36.8,5/24/2018,17.87,0.00%
228,AHG,Akso Health Group,Financial,Credit Services,China,38.9,,,,64.83,1.36,2.51,,,,-1.39,33.50%,,-36.70%,,-31.80%,72.50%,-95.60%,16.89,7.94,,,1.60%,,0.43%,0.09,-39.40%,-72.00%,-115.00%,1.7,1.7,0,0.51,,,,8.97%,-21.00%,-64.97%,1.94%,-29.46%,-3.66%,1.32,0.18,13.82%,11.60%,0.29%,-27.10%,-30.23%,-58.09%,18.80%,-92.94%,28.46%,43.79,5.33%,-1.96%,,362.13,0.25,1.58,3.27%,91576,,,11/03/2017,1.51,-4.43%
229,AHH,"Armada Hoffler Properties, Inc.",Real Estate,REIT - Diversified,USA,1203.17,71.89,42.03,14.38,3.85,2.28,42.97,36.68,4.98%,305.10%,0.19,-6.50%,54.76%,-4.30%,5.00%,8.70%,-46.20%,-31.70%,61.08,60.34,0.50%,0.78%,82.00%,-0.01%,1.87%,2.59,0.60%,3.20%,3.70%,,,2.77,2.78,40.10%,12.70%,3.70%,0.22%,-9.95%,-0.29%,5.08%,27.07%,-10.25%,0.85,0.41,3.91%,2.61%,-5.48%,-6.49%,-0.81%,-13.54%,3.34%,-13.54%,28.63%,37.64,2.09%,0.53%,1.7,434.57,1.53,13.66,2.63%,663392,2/10/2022 8:30,16.29,5/08/2013,13.66,0.00%
230,AHI,Advanced Human Imaging Limited,Technology,Software - Application,Australia,50.37,,,,77.6,20.67,,,,,-0.57,,,,,,,-53.40%,23.21,14.68,,,,,0.50%,0.04,,,,,,,,,,,-34.44%,-54.89%,,,,-55.53%,,0.46,25.25%,14.32%,-42.33%,-49.48%,-49.48%,-72.07%,22.60%,-72.07%,22.60%,30.61,16.67%,2.20%,,2096.36,0.37,2.17,19.23%,766283,,,11/19/2021,2.11,-2.76%
231,AHPI,"Allied Healthcare Products, Inc.",Healthcare,Medical Devices,USA,14.96,16.06,,,0.45,1.4,49.88,,,0.00%,0.21,155.80%,,22.20%,,0.20%,-541.50%,-27.50%,4.01,3.26,2.30%,-56.87%,4.80%,,2.53%,0.05,4.70%,8.90%,14.20%,1.7,0.5,0,0.24,18.50%,3.30%,2.60%,-8.74%,-43.87%,-38.03%,-59.52%,-44.52%,-42.61%,-4.63,0.43,9.92%,8.54%,-28.56%,-37.27%,-43.00%,-65.99%,6.71%,-79.65%,6.71%,28.41,5.03%,-0.31%,,1592.76,0.05,3.34,4.70%,75519,,,1/14/1992,3.34,0.00%
232,AHT,"Ashford Hospitality Trust, Inc.",Real Estate,REIT - Hotel & Motel,USA,258.97,,,,0.4,3.45,0.38,,,,-39.9,-109.20%,66.40%,-29.30%,5.00%,-17.60%,98.60%,166.00%,28.03,,0.30%,7.23%,35.50%,0.45%,,0.9,-7.10%,171.30%,-11.20%,,,67.68,67.68,14.80%,-31.80%,-43.10%,-16.69%,-28.02%,-50.10%,-55.93%,-75.55%,-25.63%,2.01,0.75,12.30%,7.83%,-26.52%,-31.72%,-65.27%,-47.69%,4.68%,-90.83%,4.68%,28.01,4.69%,-0.58%,2.7,1759.21,0.84,7.14,4.08%,1473543,10/26/2021 4:30:00 PM,21.5,8/26/2003,7.07,-0.98%
233,AI,"C3.ai, Inc.",Technology,Information Technology Services,USA,2530.37,,,,11.93,2.36,2.61,,,,-1.3,25.20%,3.10%,,,,-252.50%,41.20%,103.75,81.59,3.20%,-46.25%,50.90%,-0.69%,17.58%,3.52,-11.40%,-12.80%,-5.70%,7.7,7.7,0,0,75.00%,-63.50%,-63.70%,-8.33%,-25.84%,-47.73%,-53.66%,-83.29%,-25.34%,,1.87,9.43%,7.21%,-17.16%,-27.66%,-51.78%,-52.00%,4.11%,-86.81%,4.11%,28.06,3.69%,-0.18%,2.8,4071.96,0.7,23.33,3.50%,2849977,2/16/2022 4:30:00 PM,55.44,12/09/2020,23.37,0.17%
234,AIA,iShares Asia 50 ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,1.44%,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.11%,-2.12%,-8.96%,-11.44%,-20.63%,-2.89%,,1.38,1.97%,1.47%,-3.85%,-4.24%,-11.12%,-9.87%,0.60%,-27.46%,0.60%,37.89,0.46%,-0.16%,,84.02,0.56,74.35,0.30%,47222,,,11/16/2007,,
235,AIEQ,AI Powered Equity ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,0.11%,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.84%,-15.29%,-16.37%,-12.92%,-6.34%,-15.17%,,0.92,3.69%,2.39%,-7.21%,-11.81%,-11.84%,-19.33%,3.60%,-19.33%,3.60%,28.8,3.02%,-0.83%,,23.43,0.4,35.52,2.16%,9422,,,10/18/2017,35.54,0.06%
236,AIF,Apollo Tactical Income Fund Inc.,Financial,Asset Management,USA,220.58,4.63,,,10.37,0.91,,,7.08%,,3.29,,,,,,,-4.70%,14.46,,,,46.91%,,,0.19,,,,,,,,,,,-1.49%,-0.52%,-4.21%,-0.20%,4.96%,-0.46%,,0.18,1.95%,1.05%,-1.64%,-1.54%,-1.82%,-4.57%,2.62%,-5.40%,5.46%,39.84,-0.13%,-0.26%,,60.03,0.4,15.25,-0.39%,24004,,,2/26/2013,,
237,AIG,"American International Group, Inc.",Financial,Insurance - Diversified,USA,48548.15,8.94,10.6,0.29,1.02,0.75,17.99,15.98,2.25%,19.90%,6.37,-286.60%,13.38%,-43.90%,30.69%,-5.80%,507.80%,25.60%,852.76,829.37,0.10%,-5.37%,93.50%,-0.08%,0.98%,1.64,0.90%,8.60%,-4.20%,,,0.49,0.49,,16.50%,11.70%,-0.63%,0.32%,-4.91%,20.30%,52.14%,0.18%,1.31,1.88,5.02%,3.07%,-3.63%,0.27%,6.42%,-8.50%,10.20%,-8.92%,54.78%,44.27,1.71%,-0.74%,2.2,4925.87,1.04,56.96,0.96%,5126574,2/16/2022 4:30:00 PM,65,4/03/1972,55.93,-1.81%
238,AIH,Aesthetic Medical International Holdings Group Limited,Healthcare,Medical Care Facilities,China,75.18,,,,0.44,3.22,10.02,,,,-2.41,-272.90%,,,,,-301.20%,34.40%,23.6,23.6,,,2.80%,,0.79%,7.11,-34.90%,-104.90%,-25.50%,0.5,0.4,1.62,2.9,62.20%,-38.40%,-33.40%,-16.18%,-6.23%,-25.12%,-36.93%,-38.28%,-9.20%,,0.25,6.07%,6.16%,-11.12%,-2.13%,-37.78%,-19.80%,62.05%,-71.89%,62.05%,40.86,2.27%,-2.83%,2,26.1,0.08,3.16,-0.63%,2182,11/16/2021 8:30:00 AM,,10/25/2019,,
239,AIHS,Senmiao Technology Limited,Financial,Credit Services,China,20.64,,,,2.49,7.26,11.47,,,,-0.25,-137.10%,,,,,113.10%,107.10%,55.39,50.09,18.93%,0.00%,1.30%,-0.32%,0.74%,0.65,-58.90%,-363.10%,-68.50%,0.4,0.4,0.58,3.71,-29.90%,,,-2.06%,-20.37%,-60.21%,-60.37%,-79.69%,-21.49%,0.19,0.04,20.50%,12.53%,-16.05%,-33.85%,-59.24%,-60.74%,16.20%,-87.48%,16.20%,31.99,-6.62%,1.83%,,563.77,0.29,0.29,-4.91%,161238,,,3/16/2018,0.3,3.24%
240,AIKI,AIkido Pharma Inc.,Healthcare,Biotechnology,USA,45.53,,,,,0.42,0.47,,,,-0.07,73.60%,-12.50%,66.60%,,,99.10%,,89.63,89.5,0.40%,0.00%,16.40%,-0.01%,0.45%,0.23,-5.80%,-5.90%,,54.1,54.1,0,0,,,,2.07%,-16.74%,-44.96%,-45.35%,-71.50%,-18.43%,1.41,0.04,10.10%,7.62%,-12.31%,-24.28%,-42.09%,-40.96%,14.00%,-81.22%,14.00%,30.41,-0.21%,0.38%,2,1785.73,0.34,0.48,0.17%,604452,,2,3/18/1980,0.47,-2.86%
241,AIM,AIM ImmunoTech Inc.,Healthcare,Biotechnology,USA,34.96,,,,349.6,0.59,0.92,,,,-0.38,82.50%,7.90%,57.90%,25.00%,4.20%,5.90%,-8.30%,47.85,47.19,0.90%,0.00%,15.20%,,1.60%,2.06,-25.10%,-26.20%,-23.90%,49.6,49.6,0,0,,,,-10.59%,-20.87%,-58.01%,-63.64%,-62.56%,-17.39%,-0.84,0.08,13.52%,8.89%,-14.66%,-32.09%,-57.65%,-55.56%,9.35%,-75.16%,9.35%,31.32,2.70%,0.07%,2,366.35,0.3,0.76,2.77%,111687,11/16/2021 8:30:00 AM,6.88,7/15/1996,0.77,1.32%
242,AIMC,Altra Industrial Motion Corp.,Industrials,Specialty Industrial Machinery,USA,3125.57,21.14,12.47,1.41,1.66,1.49,12.17,14.22,0.67%,12.40%,2.25,-120.00%,21.74%,-18.00%,15.00%,18.20%,-8.40%,7.20%,64.9,64.32,0.40%,0.00%,,0.99%,0.75%,2.06,3.50%,7.20%,1.40%,2.2,1.5,0.62,0.63,36.10%,13.30%,7.80%,0.83%,-8.24%,-10.25%,-24.17%,-7.55%,-7.83%,2.31,2.23,6.29%,4.57%,-4.51%,-9.17%,-18.70%,-23.65%,5.50%,-30.17%,5.50%,39.73,2.04%,0.22%,1.7,233.24,1.8,47.53,2.26%,420888,10/22/2021 8:30:00 AM,71.8,12/15/2006,47.53,0.00%
243,AIN,Albany International Corp.,Consumer Cyclical,Textile Manufacturing,USA,2670.61,22.56,22.51,,2.91,3.02,9.33,19.41,1.03%,21.80%,3.62,-25.60%,7.88%,11.30%,-1.20%,4.90%,4.00%,9.60%,32.38,32.12,0.20%,-96.05%,,-0.16%,1.17%,2.74,7.70%,13.90%,10.10%,4.1,3.5,0.4,0.4,40.80%,19.30%,12.80%,-2.05%,-8.38%,1.99%,-5.42%,17.48%,-7.67%,1.35,2.78,4.63%,3.00%,-5.72%,-5.19%,-2.96%,-10.77%,2.83%,-12.59%,25.37%,36.45,1.09%,-0.06%,2.6,137.31,1.55,81.67,1.03%,212225,2/15/2022 4:30:00 PM,96.57,9/30/1987,81.67,0.00%
244,AINC,Ashford Inc.,Financial,Asset Management,USA,48.64,,4.69,,0.15,,1.21,,,,-24.44,-765.80%,-11.96%,9.99%,,40.70%,65.20%,83.70%,2.79,1.82,20.20%,2.13%,13.20%,,0.30%,0.3,-11.80%,28.70%,226.60%,0.9,0.8,,,36.50%,-10.00%,-20.00%,-1.17%,-12.88%,-11.63%,-8.65%,104.58%,-8.71%,2.45,1.25,8.09%,8.28%,-9.22%,-13.23%,-10.47%,-39.88%,10.14%,-46.22%,112.85%,38.24,0.33%,-0.03%,2,18.36,2.91,15.2,0.30%,53489,10/27/2021 4:30:00 PM,24.5,11/07/2014,,
245,AINV,Apollo Investment Corporation,Financial,Asset Management,USA,851.45,6.33,9.32,2.11,4.08,0.81,36.08,47.57,9.58%,60.70%,2.04,199.30%,-0.36%,37.90%,3.00%,-10.60%,-23.30%,-3.60%,65.03,63.97,0.60%,0.00%,32.90%,0.26%,2.21%,3.41,5.10%,12.90%,4.40%,,,1.54,1.54,55.20%,48.20%,63.80%,0.15%,-0.69%,-3.56%,-5.17%,8.45%,1.17%,1.9,0.3,2.62%,2.05%,-1.39%,-0.54%,-4.38%,-4.71%,10.13%,-14.32%,10.59%,46.67,0.15%,-0.39%,3,414.25,0.68,12.94,-0.23%,281683,2/03/2022 16:30,13.86,4/06/2004,12.98,0.31%
246,AIO,Virtus AllianzGI Artificial Intelligence & Technology Opportunities Fund,Financial,Closed-End Fund - Equity,USA,748.93,,,,,,,,22.47%,,,,,,,,,,34.34,,0.05%,77.26%,16.14%,,,0.05,,,,,,,,,,,-0.86%,-11.59%,-9.46%,-7.27%,-6.93%,-12.02%,,0.75,4.21%,3.15%,-8.91%,-8.93%,-8.75%,-16.35%,6.13%,-16.77%,6.13%,32.55,2.25%,-0.47%,,127.56,0.95,21.81,1.77%,121448,,,10/29/2019,21.81,0.00%
247,AIP,"Arteris, Inc.",Technology,Semiconductors,USA,426.94,,,,10.44,,,,,,-0.42,,39.50%,,,,,39.40%,31.25,14.55,52.58%,0.00%,4.31%,,0.98%,0.92,,,,,,,,,,,8.84%,-33.50%,-24.36%,,,-35.29%,,1.58,13.59%,10.81%,-16.25%,-33.53%,-34.18%,-50.45%,18.99%,-50.45%,18.99%,37.23,4.59%,0.93%,2,154.61,0.53,13.66,5.56%,81432,11/30/2021 4:30:00 PM,30.2,10/27/2021,,
248,AIQ,Global X Artificial Intelligence & Technology ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,0.29%,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.22%,-13.78%,-13.15%,-9.50%,-0.40%,-13.40%,,0.76,3.87%,2.55%,-7.22%,-11.13%,-9.95%,-17.67%,4.48%,-17.67%,4.48%,31.09,2.34%,0.37%,,31.77,0.95,27.54,2.72%,30193,,,5/16/2018,,
249,AIR,AAR Corp.,Industrials,Aerospace & Defense,USA,1433.74,18.16,12.54,1.33,0.82,1.37,33.58,30.12,,0.00%,2.17,84.30%,34.49%,0.00%,13.68%,1.60%,41.30%,8.20%,35.1,33.8,0.70%,1.33%,96.00%,0.16%,6.40%,6.96,4.70%,7.60%,4.20%,3,1.3,0.1,0.1,17.30%,6.00%,4.20%,-1.05%,0.84%,10.73%,10.21%,17.47%,0.97%,1.71,1.38,4.22%,3.26%,-3.71%,3.97%,6.63%,-8.20%,23.58%,-13.37%,27.54%,46.76,0.18%,-0.91%,2,310.97,1,39.41,-0.73%,311051,12/21/2021 4:30:00 PM,49.33,4/24/1972,39.41,0.00%
250,AIRC,Apartment Income REIT Corp.,Real Estate,REIT - Residential,USA,8261.32,,72.75,,11.47,5.4,112.09,,3.36%,,-0.35,-321.60%,53.96%,,,,125.70%,7.70%,156.65,156.24,0.51%,-19.00%,,0.05%,1.67%,4.1,,,-2.00%,,,2.79,2.79,,,,1.02%,-4.61%,-0.15%,-0.63%,34.92%,-4.32%,,1.35,3.42%,2.48%,-2.07%,-1.27%,4.07%,-5.80%,7.25%,-5.80%,39.46%,45.87,2.35%,-0.12%,2.5,636.38,2.45,52.31,2.23%,1558081,2/09/2022 16:30,58.3,12/15/2020,52.35,0.08%
251,AIRG,"Airgain, Inc.",Technology,Communication Equipment,USA,106.51,,,,1.69,1.96,,,,,-0.65,-468.10%,37.50%,2.10%,35.00%,11.80%,,19.20%,10.08,9.4,3.00%,4.87%,63.50%,-2.47%,3.37%,4.51,-9.90%,-13.30%,-7.20%,2,1.6,0,0,40.60%,-13.80%,-10.40%,-2.57%,-11.63%,-17.45%,-49.21%,-59.38%,-12.79%,1.02,0.55,5.80%,5.55%,-10.69%,-9.76%,-37.75%,-19.32%,4.39%,-68.58%,4.39%,34.99,3.00%,-0.77%,2.3,70.2,0.74,9.27,2.21%,52198,11/09/2021 16:30,16.6,8/12/2016,9.27,0.00%
252,AIRI,Air Industries Group,Industrials,Aerospace & Defense,USA,27.59,19.76,11.85,,0.48,1.69,39.42,30.66,,0.00%,0.04,140.10%,250.00%,18.40%,,-9.00%,86.80%,5.10%,32.07,24.87,21.20%,0.68%,14.10%,-0.13%,0.26%,0.23,3.80%,13.80%,5.60%,1.7,0.5,0.64,1.56,14.60%,5.70%,3.70%,-0.02%,-9.01%,-21.72%,-31.98%,-40.30%,-8.51%,0.97,0.05,7.79%,5.74%,-6.76%,-11.84%,-26.20%,-24.56%,9.76%,-66.27%,9.76%,31.95,-3.70%,0.26%,2,284.94,0.52,0.83,-3.46%,147069,11/03/2021 8:30,2.5,10/05/2000,0.82,-1.17%
253,AIRR,First Trust RBA American Industrial RenaissanceTM ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,0.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.54%,-11.97%,-9.13%,-3.73%,14.97%,-11.80%,,1.11,3.76%,2.43%,-8.07%,-10.37%,-6.30%,-17.07%,1.04%,-17.09%,15.25%,29.83,0.68%,0.33%,,38.72,0.89,39.79,1.02%,34425,,,3/11/2014,40.01,0.55%
254,AIRS,"AirSculpt Technologies, Inc.",Healthcare,Medical Care Facilities,USA,802.66,25.5,67,0.54,6.77,,38.78,23.89,,0.00%,0.54,442.50%,-35.91%,,47.00%,,986.90%,57.00%,57.87,9.7,28.80%,0.00%,2.30%,,6.31%,1.6,,,6.40%,1.6,1.6,1,1.01,69.60%,28.90%,25.50%,6.86%,-17.69%,,,,-19.31%,,1.33,11.94%,9.59%,-6.49%,-0.23%,-1.82%,-24.95%,41.10%,-24.95%,41.10%,47.74,7.60%,-0.85%,1.8,382.92,0.39,13.87,6.69%,147625,12/03/2021 8:30,20,10/29/2021,13.87,0.00%
255,AIRT,"Air T, Inc.",Industrials,Integrated Freight & Logistics,USA,65.01,14.76,,,0.36,2.89,12.5,,,0.00%,1.48,,,-32.20%,,3.40%,356.70%,21.30%,2.88,1.52,2.30%,21.69%,27.60%,-0.12%,0.37%,0.48,2.80%,24.60%,-5.70%,5.4,1.6,4.26,4.32,21.10%,2.10%,2.40%,-12.48%,-12.09%,-19.17%,-26.91%,8.10%,-12.96%,1.37,1.53,7.21%,5.56%,-13.59%,-16.02%,-19.95%,-30.82%,-2.73%,-49.15%,9.45%,33.78,-3.23%,-0.79%,,11.68,1.21,21.89,-3.99%,14121,,,4/24/1984,,
256,AIT,"Applied Industrial Technologies, Inc.",Industrials,Industrial Distribution,USA,3811.71,24.12,16.67,2.01,1.13,3.94,15.41,26.92,1.32%,31.10%,4.14,523.50%,11.29%,37.50%,12.00%,5.10%,52.30%,19.20%,38.5,37.91,1.50%,-3.34%,94.90%,-0.07%,0.83%,2.65,7.10%,17.50%,9.80%,2.6,1.8,0.75,0.84,29.10%,6.70%,4.80%,2.77%,-4.10%,1.19%,11.42%,41.98%,-2.69%,1.43,3.57,4.98%,3.19%,-0.17%,-1.15%,5.18%,-9.04%,6.90%,-9.04%,42.61%,50.34,-1.14%,1.59%,2,118.49,1.52,99.94,0.43%,179700,1/27/2022 8:30:00 AM,112,7/02/1962,99.94,0.00%
257,AIV,Apartment Investment and Management Company,Real Estate,REIT - Residential,USA,1045.88,,,,6.43,2.05,4.13,,,,-0.2,-101.10%,,-15.10%,7.10%,-31.20%,-347.30%,15.00%,149.76,148.39,0.10%,493.29%,91.30%,-0.03%,3.65%,3.28,-1.40%,-6.00%,-0.30%,,,3.19,0,,,,-0.15%,-11.76%,-11.87%,-1.87%,48.80%,-11.53%,1.1,0.24,5.17%,3.26%,-5.09%,-9.09%,-4.77%,-16.30%,6.55%,-16.30%,51.78%,37.98,3.96%,0.00%,1,1647.82,1.19,6.83,3.96%,1961300,11/09/2021 16:30,,7/22/1994,6.83,0.00%
258,AIZ,"Assurant, Inc.",Financial,Insurance - Specialty,USA,8730.69,15.38,12.68,1.03,0.86,1.55,4.31,13.68,1.80%,11.40%,9.82,14.70%,29.59%,26.70%,15.00%,-0.50%,85.90%,10.90%,59.13,56.48,0.50%,-7.49%,96.60%,-0.37%,1.39%,1.75,3.30%,23.50%,6.60%,,,0.38,0.38,,9.00%,13.60%,2.76%,-2.35%,-7.64%,-4.28%,11.50%,-3.09%,0.64,3.41,3.15%,2.16%,-1.78%,-2.35%,-4.92%,-8.65%,4.76%,-12.29%,24.27%,45.55,1.75%,-0.17%,1.7,448.33,0.91,151.05,1.58%,408439,2/08/2022 16:30,194.17,2/05/2004,151.05,0.00%
259,AJG,Arthur J. Gallagher & Co.,Financial,Insurance Brokers,USA,32343.68,33.37,25.92,2.71,4.07,3.8,11.83,32.23,1.24%,39.30%,4.63,19.40%,9.88%,15.30%,12.30%,5.40%,18.30%,15.60%,207,205.46,0.30%,-4.00%,85.30%,0.40%,0.92%,1.98,3.70%,12.70%,9.80%,1.3,1.3,0.6,0.65,36.50%,15.20%,11.80%,0.24%,-8.99%,-5.84%,10.93%,33.91%,-8.92%,0.72,4.22,3.76%,2.57%,-3.78%,-5.75%,2.30%,-9.74%,4.90%,-9.74%,36.40%,40.98,3.15%,0.33%,2.2,952.94,1.64,154.54,3.49%,1567059,1/27/2022 4:30:00 PM,182.83,6/20/1984,154.54,0.00%
260,AJRD,"Aerojet Rocketdyne Holdings, Inc.",Industrials,Aerospace & Defense,USA,3160.15,22.43,18.3,1.82,1.47,7.67,4.98,,,0.00%,1.71,-2.00%,5.00%,51.30%,12.30%,3.90%,34.10%,3.30%,79.9,78.67,0.30%,0.00%,92.60%,0.01%,7.73%,8.21,5.60%,44.80%,23.10%,1.4,1.4,0.76,1.17,18.30%,11.10%,6.50%,-10.46%,-17.97%,-11.94%,-18.52%,-18.03%,-17.79%,0.45,1.75,5.12%,3.31%,-12.03%,-12.52%,-15.04%,-18.82%,5.90%,-22.87%,5.90%,34.89,0.97%,0.13%,2.7,740.63,2.35,38.44,1.10%,1740318,10/26/2021 4:30:00 PM,50.5,2/02/1981,38.44,0.00%
261,AJX,Great Ajax Corp.,Real Estate,REIT - Mortgage,USA,300.28,9.06,8.94,,3.09,0.76,3.24,,7.47%,49.70%,1.42,-15.30%,-0.69%,-8.40%,,15.40%,32.90%,-4.10%,22.86,20.71,2.20%,0.00%,75.40%,-0.58%,2.60%,7.29,2.20%,9.90%,2.30%,0.3,0.3,1.86,2.9,40.90%,48.40%,38.30%,1.98%,0.76%,-8.55%,2.19%,31.55%,-1.54%,1.7,0.33,3.44%,2.47%,-1.30%,-0.91%,-1.65%,-7.84%,5.35%,-12.09%,34.70%,47.45,1.18%,-0.08%,2,73.91,0.95,12.86,1.10%,70351,11/04/2021 16:30,16.6,2/13/2015,12.86,0.00%
262,AKA,a.k.a. Brands Holding Corp.,Consumer Cyclical,Internet Retail,USA,892.12,,14.13,,1.98,1.43,16.4,,,,-0.04,928.40%,256.49%,,55.90%,,-300.70%,155.60%,88.37,84.13,0.70%,3.50%,63.70%,1.04%,0.97%,2.61,,,11.30%,2,0.9,0.23,0.24,55.70%,1.80%,-0.20%,4.76%,-24.05%,-33.27%,,,-28.65%,,0.53,10.30%,7.26%,-14.25%,-32.21%,-32.91%,-56.66%,8.73%,-56.66%,8.73%,32.72,2.80%,1.90%,2,311.5,0.72,6.6,4.76%,224216,11/09/2021 16:30,14.74,9/22/2021,6.6,0.00%
263,AKAM,"Akamai Technologies, Inc.",Technology,Software - Infrastructure,USA,18331.94,30.82,18.92,2.57,5.39,3.98,9.56,17.56,,0.00%,3.64,16.10%,4.64%,13.60%,12.00%,7.80%,12.90%,8.50%,162.77,159.94,0.10%,-12.49%,93.40%,0.05%,8.01%,9.3,7.60%,13.70%,9.90%,3.8,3.8,0.43,0.43,63.30%,21.20%,17.80%,-0.39%,-5.21%,7.12%,-6.46%,1.03%,-4.16%,0.54,2.65,3.38%,2.24%,-1.18%,-1.13%,-0.21%,-6.28%,3.21%,-7.38%,21.08%,46.96,1.97%,-0.17%,2.3,1377.59,0.76,112.17,1.80%,1044153,2/15/2022 4:30:00 PM,134.86,10/29/1999,112.17,0.00%
264,AKBA,"Akebia Therapeutics, Inc.",Healthcare,Biotechnology,USA,340.08,,,,1.61,2.42,1.64,,,,-1.91,-17.20%,55.00%,-3.80%,,,18.10%,-18.70%,173.78,172.71,0.10%,-3.72%,59.60%,-0.03%,5.91%,3.25,-48.10%,-154.70%,-109.40%,1.7,1.6,0.71,0.71,35.70%,,,-4.50%,-16.59%,-32.75%,-22.67%,-41.05%,-15.49%,1.5,0.16,9.95%,7.46%,-11.68%,-20.77%,-34.09%,-34.14%,5.52%,-62.84%,5.52%,35.47,4.37%,0.00%,2.1,3142.45,1.44,1.91,4.37%,4519164,11/04/2021 8:30,7.17,3/20/2014,1.91,0.00%
265,AKIC,Sports Ventures Acquisition Corp.,Financial,Shell Companies,USA,290.83,,,,,1.32,484.71,,,,,,,,,,,,29.41,23,2.79%,,77.30%,0.42%,0.01%,0.02,,,,7.2,7.2,0,0,,,,1.22%,0.81%,1.85%,0.50%,,0.91%,,0.04,0.41%,0.15%,0.65%,0.66%,0.64%,-0.52%,1.22%,-9.66%,2.92%,57.54,-0.52%,0.20%,,115.18,0.04,9.83,-0.32%,4294,,,2/26/2021,,
266,AKICU,Sports Ventures Acquisition Corp.,Financial,Shell Companies,USA,,,,,,,,,,,,,,,,,,,,21.29,2.79%,,14.80%,,0.00%,0,,,,,,,,,,,1.26%,0.95%,1.26%,0.45%,,1.36%,,0.07,1.09%,0.36%,0.89%,1.06%,-0.38%,-3.22%,2.29%,-6.73%,3.13%,56.21,-0.45%,-0.30%,,9.32,0.07,10.06,-0.74%,610,,,1/06/2021,,
267,AKO-A,Embotelladora Andina S.A.,Consumer Defensive,Beverages - Non-Alcoholic,Chile,1741.69,11.57,,,,1.46,,,7.70%,,0.95,,,13.19%,,,52.80%,36.50%,157.76,93.84,,,0.21%,,0.01%,3.56,,,,,,,,,,,-1.78%,6.64%,3.18%,-11.04%,-2.82%,5.34%,,0.34,2.21%,1.42%,2.43%,4.70%,-7.22%,-4.66%,18.71%,-26.69%,18.71%,54.57,2.32%,-3.14%,,1.39,0.84,11.04,-0.90%,1167,,,7/07/1994,,
268,AKO-B,Embotelladora Andina S.A.,Consumer Defensive,Beverages - Non-Alcoholic,Chile,1815.56,12.47,11.03,1.19,0.72,1.56,3.06,97.09,7.22%,0.00%,1.03,-29.80%,7.75%,6.80%,10.50%,-2.00%,52.80%,36.50%,157.76,79.86,87.00%,0.00%,3.20%,0.13%,0.02%,1.27,4.90%,13.80%,9.80%,1.9,1.6,0.97,0.99,37.80%,12.70%,6.20%,-5.15%,1.02%,3.12%,-9.42%,-17.12%,-0.08%,0.48,0.6,4.55%,4.43%,-1.78%,1.55%,-3.81%,-6.46%,12.00%,-25.31%,14.29%,48.44,-0.16%,0.16%,2.2,14.06,0.51,12.88,0.00%,7159,,15.98,4/07/1997,12.89,0.08%
